酒店名称,房间类型,有无早餐,每间容纳人数,价格
丽呈睿轩南京南站酒店,双床房,无早餐,2,245
丽呈睿轩南京南站酒店,大床房,无早餐,2,245
丽呈睿轩南京南站酒店,家庭房,有早餐,3,342
丽呈睿轩南京南站酒店,家庭房,有早餐,4,559
如家睿柏·云酒店,大床房,无早餐,2,119
如家睿柏·云酒店,双床房,无早餐,2,125
如家睿柏·云酒店,大床房,无早餐,2,143
如家睿柏·云酒店,双床房,有早餐,2,167
汇丽酒店,大床房,无早餐,2,163
汇丽酒店,双床房,无早餐,2,173
汇丽酒店,家庭房,无早餐,3,193
汇丽酒店,大床房,有早餐,2,192
汇丽酒店,家庭房,有早餐,3,202
如家酒店·neo,大床房,无早餐,1,157
如家酒店·neo,大床房,无早餐,1,208
如家酒店·neo,双床房,无早餐,2,194
如家酒店·neo,双床房,有早餐,2,256
如家酒店·neo,家庭房,有早餐,3,218
如家酒店·neo,家庭房,无早餐,3,227
莫泰168,双床房,无早餐,2,135
莫泰168,双床房,有早餐,2,205
莫泰168,大床房,无早餐,2,135
莫泰168,大床房,有早餐,2,205
莫泰168,大床房,无早餐,2,148
莫泰168,家庭房,有早餐,3,176
莫泰168,家庭房,无早餐,3,253
南京安其居精品酒店公寓,大床房,无早餐,2,159
南京安其居精品酒店公寓,大床房,无早餐,2,179
南京安其居精品酒店公寓,大床房,无早餐,2,199
南京安其居精品酒店公寓,家庭房,无早餐,4,206
南京安其居精品酒店公寓,大床房,无早餐,2,212
南京安其居精品酒店公寓,家庭房,无早餐,4,219
清沐精选酒店,大床房,无早餐,2,131
清沐精选酒店,大床房,无早餐,2,151
清沐精选酒店,双床房,有早餐,2,172
清沐精选酒店,大床房,无早餐,2,190
清沐精选酒店,双床房,无早餐,2,210
锦江都城酒店,大床房,无早餐,2,170
锦江都城酒店,大床房,有早餐,2,192
锦江都城酒店,大床房,有早餐,2,214
锦江都城酒店,双床房,无早餐,2,170
锦江都城酒店,双床房,有早餐,2,214
锦江都城酒店,大床房,无早餐,3,244
